Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,HHS_Lag1,HHS_Lag7,HHS_Lag14,Discharge_Lag1,Discharge_Lag7,Discharge_Lag14,RollingMean7,RollingMean14,RollingStd7,RollingStd14,NetPressure,DayOfWeek,Month,Quarter,Weekend
2023-02-09,124.0,234.0,161.0,7908.0,353.0,7915.0,7803.0,6566.0,317.0,158.0,436.0,7823.714285714285,7654.071428571428,124.51467689354465,254.66220893438575,-192.0,3,2,1,0
2023-02-12,92.0,203.0,173.0,7434.0,317.0,7908.0,7903.0,7122.0,353.0,231.0,227.0,7756.714285714285,7676.357142857143,185.82762109520763,215.09661769785,-144.0,6,2,1,1
2023-02-13,186.0,259.0,172.0,7483.0,244.0,7434.0,7879.0,7280.0,317.0,298.0,181.0,7700.142857142857,7690.857142857143,201.9714737047677,191.9153888658139,-72.0,0,2,1,0
2023-02-14,154.0,225.0,220.0,7794.0,223.0,7483.0,7586.0,7433.0,244.0,342.0,175.0,7729.857142857143,7716.642857142857,197.63386060374933,178.37928783821962,-3.0,1,2,1,0
2023-02-15,91.0,199.0,172.0,7869.0,290.0,7794.0,7720.0,7538.0,223.0,196.0,180.0,7751.142857142857,7740.285714285715,204.3064924498047,174.7796100462299,-118.0,2,2,1,0
2023-02-16,81.0,213.0,153.0,7793.0,361.0,7869.0,7855.0,7472.0,290.0,200.0,303.0,7742.285714285715,7763.214285714285,200.35943891392802,157.03119659257783,-208.0,3,2,1,0
2023-02-20,209.0,285.0,184.0,7817.0,209.0,7793.0,7915.0,7743.0,361.0,317.0,196.0,7728.285714285715,7768.5,189.40407799702763,157.54303441380011,-25.0,0,2,1,0
2023-02-21,184.0,314.0,217.0,7967.0,213.0,7817.0,7908.0,7803.0,209.0,353.0,158.0,7736.714285714285,7780.214285714285,199.7637890824329,166.16682005717087,4.0,1,2,1,0
2023-02-22,107.0,215.0,230.0,7978.0,232.0,7967.0,7434.0,7903.0,213.0,317.0,231.0,7814.428571428572,7785.571428571428,165.19670814199426,171.55161335282202,-2.0,2,2,1,0
2023-02-23,101.0,162.0,178.0,7914.0,386.0,7978.0,7483.0,7879.0,232.0,244.0,298.0,7876.0,7788.071428571428,78.81624198094237,173.26434418839054,-208.0,3,2,1,0
